positive_aop_returns language:c,c++24268
sb_end_write language:c,c++100213
sb_end_pagefault language:c,c++106296
sb_end_intwrite language:c,c++102366
sb_start_write language:c,c++93817
sb_start_pagefault language:c,c++107745
inode_inc_iversion language:c,c++125042
filemap_set_wb_err language:c,c++978
filemap_check_wb_err language:c,c++975
filemap_sample_wb_err language:c,c++2443
__d_drop language:c,c++211658
shrink_dcache_sb language:c,c++192887
path_has_submounts language:c,c++4054
shrink_dcache_parent language:c,c++344963
d_invalidate language:c,c++213185
d_alloc language:c,c++395495
d_alloc_pseudo language:c,c++143477
d_instantiate language:c,c++1700238
d_instantiate_no_diralias language:c,c++16587
d_find_any_alias language:c,c++77506
d_obtain_alias language:c,c++679625
d_obtain_root language:c,c++25838
d_add_ci language:c,c++96026
d_lookup language:c,c++359466
d_hash_and_lookup language:c,c++100772
d_delete language:c,c++952319
d_rehash language:c,c++204826
d_add language:c,c++1380810
d_exact_alias language:c,c++4213
dentry_update_name_case language:c,c++61056
d_splice_alias language:c,c++710713
d_path language:c,c++600933
dget_dlock language:c,c++206691
d_unhashed language:c,c++727409
d_really_is_negative language:c,c++106625
d_really_is_positive language:c,c++143575
d_inode language:c,c++10407669
d_inode_rcu language:c,c++20880
d_backing_inode language:c,c++100785
d_backing_dentry language:c,c++4323
d_real language:c,c++10991
d_real_inode language:c,c++5340
inode_init_always language:c,c++None
inode_init_always language:c,c++69796
inode_init_always language:c,c++69793
drop_nlink language:c,c++875446
clear_nlink language:c,c++951626
set_nlink language:c,c++1463979
inc_nlink language:c,c++1168946
inode_sb_list_add language:c,c++61336
__insert_inode_hash language:c,c++102322
__remove_inode_hash language:c,c++34942
evict_inodes language:c,c++65199
new_inode language:c,c++2333928
unlock_new_inode language:c,c++1693639
lock_two_nondirectories language:c,c++38158
unlock_two_nondirectories language:c,c++38158
iget5_locked language:c,c++526873
iget_locked language:c,c++823918
iunique language:c,c++262303
ilookup5_nowait language:c,c++73157
ilookup5 language:c,c++306774
ilookup language:c,c++451686
find_inode_nowait language:c,c++9251
iput language:c,c++5493765
bmap language:c,c++5699889
file_update_time language:c,c++448806
inode_init_owner language:c,c++525090
inode_owner_or_capable language:c,c++607244
inode_dio_wait language:c,c++389822
current_time language:c,c++2969865
make_bad_inode language:c,c++688858
is_bad_inode language:c,c++976444
iget_failed language:c,c++823402
deactivate_locked_super language:c,c++441967
deactivate_super language:c,c++219219
generic_shutdown_super language:c,c++142887
sget_userns language:c,c++4755
sget language:c,c++500109
iterate_supers_type language:c,c++54404
get_super language:c,c++154503
get_super_thawed language:c,c++49745
get_super_exclusive_thawed language:c,c++2415
freeze_super language:c,c++104071
thaw_super language:c,c++100966
posix_lock_file language:c,c++159272
locks_mandatory_area language:c,c++72824
__break_lease language:c,c++48212
lease_get_mtime language:c,c++96631
generic_setlease language:c,c++93577
vfs_setlease language:c,c++73412
locks_lock_inode_wait language:c,c++6966
vfs_test_lock language:c,c++94233
vfs_lock_file language:c,c++117648
posix_unblock_lock language:c,c++79658
vfs_cancel_lock language:c,c++70772
posix_lock_inode_wait language:c,c++3643
locks_mandatory_locked language:c,c++48801
fcntl_getlease language:c,c++72282
check_conflicting_open language:c,c++5047
fcntl_setlease language:c,c++72656
flock_lock_inode_wait language:c,c++3642
sys_flock language:c,c++160613
locks_translate_pid language:c,c++376
mpage_readpages language:c,c++398228
mpage_writepages language:c,c++234737
generic_permission language:c,c++406274
__inode_permission language:c,c++25104
inode_permission language:c,c++572168
path_get language:c,c++482743
path_put language:c,c++1412924
vfs_path_lookup language:c,c++105088
lookup_one_len language:c,c++644336
lookup_one_len_unlocked language:c,c++14125
vfs_unlink language:c,c++207185
vfs_link language:c,c++118599
vfs_rename language:c,c++144320
vfs_readlink language:c,c++116239
vfs_get_link language:c,c++5828
sync_mapping_buffers language:c,c++248144
mark_buffer_dirty language:c,c++1894188
__bread_gfp language:c,c++11089
block_invalidatepage language:c,c++171952
clean_bdev_aliases language:c,c++4876
ll_rw_block language:c,c++700396
bh_uptodate_or_lock language:c,c++213173
bh_submit_read language:c,c++212689
bio_reset language:c,c++182521
bio_chain language:c,c++126828
bio_alloc_bioset language:c,c++215496
bio_put language:c,c++1334816
__bio_clone_fast language:c,c++24940
bio_clone_fast language:c,c++31006
bio_clone_bioset language:c,c++69312
bio_add_pc_page language:c,c++137179
bio_add_page language:c,c++826738
bio_iov_iter_get_pages language:c,c++3240
submit_bio_wait language:c,c++113494
bio_advance language:c,c++58818
bio_alloc_pages language:c,c++58042
bio_copy_data language:c,c++49540
bio_map_kern language:c,c++117071
bio_endio language:c,c++1103194
bio_split language:c,c++266936
bio_trim language:c,c++27642
bioset_create language:c,c++198677
bio_associate_blkcg language:c,c++8483
bio_associate_current language:c,c++44269
bio_clone_blkcg_association language:c,c++4017
seq_open language:c,c++3039976
seq_read language:c,c++11231125
seq_lseek language:c,c++11061805
seq_release language:c,c++2902480
seq_escape language:c,c++174903
mangle_path language:c,c++70372
seq_path language:c,c++202505
seq_file_path language:c,c++17277
seq_write language:c,c++400581
seq_pad language:c,c++112714
seq_hlist_start language:c,c++65658
seq_hlist_start_head language:c,c++185447
seq_hlist_next language:c,c++207269
seq_hlist_start_rcu language:c,c++43741
seq_hlist_start_head_rcu language:c,c++87704
seq_hlist_next_rcu language:c,c++87704
seq_hlist_start_percpu language:c,c++17204
seq_hlist_next_percpu language:c,c++17204
register_filesystem language:c,c++2174935
unregister_filesystem language:c,c++1961603
wbc_account_io language:c,c++14859
inode_congested language:c,c++4955
__mark_inode_dirty language:c,c++503375
writeback_inodes_sb_nr language:c,c++46734
writeback_inodes_sb language:c,c++103518
try_to_writeback_inodes_sb_nr language:c,c++25035
try_to_writeback_inodes_sb language:c,c++31268
sync_inodes_sb language:c,c++92506
write_inode_now language:c,c++364838
sync_inode language:c,c++114206
sync_inode_metadata language:c,c++241962
freeze_bdev language:c,c++127539
thaw_bdev language:c,c++126903
bdev_read_page language:c,c++20347
bdev_write_page language:c,c++20348
bdgrab language:c,c++105125
bd_link_disk_holder language:c,c++93049
bd_unlink_disk_holder language:c,c++93057
check_disk_size_change language:c,c++74428
revalidate_disk language:c,c++643646
blkdev_get language:c,c++318854
blkdev_get_by_path language:c,c++278049
blkdev_get_by_dev language:c,c++247140
lookup_bdev language:c,c++124505
proc_dostring language:c,c++378200
proc_dointvec language:c,c++1902448
proc_douintvec language:c,c++6467
proc_dointvec_minmax language:c,c++1106942
proc_douintvec_minmax language:c,c++1511
proc_doulongvec_minmax language:c,c++478083
proc_doulongvec_ms_jiffies_minmax language:c,c++119541
proc_dointvec_jiffies language:c,c++699604
proc_dointvec_userhz_jiffies language:c,c++96073
proc_dointvec_ms_jiffies language:c,c++241513
proc_flush_task language:c,c++71286
eventfd_signal language:c,c++253200
