"name","totalCount","covered1","covered2","covered5","covered10"
"Events based on file descriptors","8","4","0","0","0"
"The Filesystem for Exporting Kernel Objects","10","2","1","0","0"
"The debugfs filesystem","30","6","3","1","0"
"splice API","12","3","1","0","0"
"pipes API","10","2","2","1","0"
"The Filesystem types","9","0","0","0","0"
"The Directory Cache","32","7","5","2","2"
"Inode Handling","31","11","7","5","4"
"Registration and Superblocks","11","2","2","1","1"
"File Locks","19","0","0","0","0"
"Other Functions","89","33","20","10","4"
"sysctl interface","10","3","0","0","0"
"proc filesystem interface","1","1","0","0","0"
"Data Types","5","2","2","1","1"
"Functions","33","2","1","0","0"
