"yearmonth","yearmonthnum","covered1","covered2","covered5","covered10"
"2009-10","22","1","1","0","0"
"2009-12","24","2","2","0","0"
"2010-4","28","1","0","0","0"
"2010-5","29","1","1","1","0"
"2010-6","30","1","1","0","0"
"2010-8","32","1","1","1","0"
"2010-12","36","2","2","1","1"
"2011-3","39","1","1","0","0"
"2011-4","40","1","1","0","0"
"2011-6","42","1","0","0","0"
"2011-9","45","2","0","0","0"
"2011-12","48","1","1","1","1"
"2012-1","49","2","1","0","0"
"2012-2","50","1","1","0","0"
"2012-3","51","1","0","0","0"
"2012-4","52","2","1","0","0"
"2012-5","53","2","0","0","0"
"2012-6","54","1","1","1","1"
"2012-7","55","1","0","0","0"
"2012-10","58","2","1","1","1"
"2012-11","59","5","1","1","1"
"2012-12","60","1","0","0","0"
"2013-1","61","1","0","0","0"
"2013-2","62","1","0","0","0"
"2013-3","63","1","1","1","0"
"2013-4","64","1","0","0","0"
"2013-5","65","4","1","1","1"
"2013-6","66","1","1","1","1"
"2013-7","67","1","0","0","0"
"2013-9","69","1","1","1","1"
"2013-10","70","2","0","0","0"
"2013-11","71","1","0","0","0"
"2013-12","72","1","1","0","0"
"2014-2","74","1","1","0","0"
"2014-3","75","3","2","1","0"
"2014-4","76","6","5","1","1"
"2014-5","77","1","1","0","0"
"2014-6","78","4","4","3","1"
"2014-9","81","3","2","2","0"
"2014-10","82","2","0","0","0"
"2014-11","83","2","0","0","0"
"2014-12","84","1","1","1","1"
"2015-1","85","2","1","0","0"
"2015-3","87","1","1","1","1"
"2015-4","88","2","2","1","0"
"2015-5","89","1","1","0","0"
"2015-6","90","1","1","0","0"
