"name","count"
"positive_aop_returns",24268
"sb_end_write",100213
"sb_end_pagefault",106296
"sb_end_intwrite",102366
"sb_start_write",93817
"sb_start_pagefault",107745
"inode_inc_iversion",125042
"filemap_set_wb_err",978
"filemap_check_wb_err",975
"filemap_sample_wb_err",2443
"__d_drop",211658
"shrink_dcache_sb",192887
"path_has_submounts",4054
"shrink_dcache_parent",344963
"d_invalidate",213185
"d_alloc",395495
"d_alloc_pseudo",143477
"d_instantiate",1700238
"d_instantiate_no_diralias",16587
"d_find_any_alias",77506
"d_obtain_alias",679625
"d_obtain_root",25838
"d_add_ci",96026
"d_lookup",359466
"d_hash_and_lookup",100772
"d_delete",952319
"d_rehash",204826
"d_add",1380810
"d_exact_alias",4213
"dentry_update_name_case",61056
"d_splice_alias",710713
"d_path",600933
"dget_dlock",206691
"d_unhashed",727409
"d_really_is_negative",106625
"d_really_is_positive",143575
"d_inode",10407669
"d_inode_rcu",20880
"d_backing_inode",100785
"d_backing_dentry",4323
"d_real",10991
"d_real_inode",5340
"inode_init_always",69793
"drop_nlink",875446
"clear_nlink",951626
"set_nlink",1463979
"inc_nlink",1168946
"inode_sb_list_add",61336
"__insert_inode_hash",102322
"__remove_inode_hash",34942
"evict_inodes",65199
"new_inode",2333928
"unlock_new_inode",1693639
"lock_two_nondirectories",38158
"unlock_two_nondirectories",38158
"iget5_locked",526873
"iget_locked",823918
"iunique",262303
"ilookup5_nowait",73157
"ilookup5",306774
"ilookup",451686
"find_inode_nowait",9251
"iput",5493765
"bmap",5699889
"file_update_time",448806
"inode_init_owner",525090
"inode_owner_or_capable",607244
"inode_dio_wait",389822
"current_time",2969865
"make_bad_inode",688858
"is_bad_inode",976444
"iget_failed",823402
"deactivate_locked_super",441967
"deactivate_super",219219
"generic_shutdown_super",142887
"sget_userns",4755
"sget",500109
"iterate_supers_type",54404
"get_super",154503
"get_super_thawed",49745
"get_super_exclusive_thawed",2415
"freeze_super",104071
"thaw_super",100966
"posix_lock_file",159272
"locks_mandatory_area",72824
"__break_lease",48212
"lease_get_mtime",96631
"generic_setlease",93577
"vfs_setlease",73412
"locks_lock_inode_wait",6966
"vfs_test_lock",94233
"vfs_lock_file",117648
"posix_unblock_lock",79658
"vfs_cancel_lock",70772
"posix_lock_inode_wait",3643
"locks_mandatory_locked",48801
"fcntl_getlease",72282
"check_conflicting_open",5047
"fcntl_setlease",72656
"flock_lock_inode_wait",3642
"sys_flock",160613
"locks_translate_pid",376
"mpage_readpages",398228
"mpage_writepages",234737
"generic_permission",406274
"__inode_permission",25104
"inode_permission",572168
"path_get",482743
"path_put",1412924
"vfs_path_lookup",105088
"lookup_one_len",644336
"lookup_one_len_unlocked",14125
"vfs_unlink",207185
"vfs_link",118599
"vfs_rename",144320
"vfs_readlink",116239
"vfs_get_link",5828
"sync_mapping_buffers",248144
"mark_buffer_dirty",1894188
"__bread_gfp",11089
"block_invalidatepage",171952
"clean_bdev_aliases",4876
"ll_rw_block",700396
"bh_uptodate_or_lock",213173
"bh_submit_read",212689
"bio_reset",182521
"bio_chain",126828
"bio_alloc_bioset",215496
"bio_put",1334816
"__bio_clone_fast",24940
"bio_clone_fast",31006
"bio_clone_bioset",69312
"bio_add_pc_page",137179
"bio_add_page",826738
"bio_iov_iter_get_pages",3240
"submit_bio_wait",113494
"bio_advance",58818
"bio_alloc_pages",58042
"bio_copy_data",49540
"bio_map_kern",117071
"bio_endio",1103194
"bio_split",266936
"bio_trim",27642
"bioset_create",198677
"bio_associate_blkcg",8483
"bio_associate_current",44269
"bio_clone_blkcg_association",4017
"seq_open",3039976
"seq_read",11231125
"seq_lseek",11061805
"seq_release",2902480
"seq_escape",174903
"mangle_path",70372
"seq_path",202505
"seq_file_path",17277
"seq_write",400581
"seq_pad",112714
"seq_hlist_start",65658
"seq_hlist_start_head",185447
"seq_hlist_next",207269
"seq_hlist_start_rcu",43741
"seq_hlist_start_head_rcu",87704
"seq_hlist_next_rcu",87704
"seq_hlist_start_percpu",17204
"seq_hlist_next_percpu",17204
"register_filesystem",2174935
"unregister_filesystem",1961603
"wbc_account_io",14859
"inode_congested",4955
"__mark_inode_dirty",503375
"writeback_inodes_sb_nr",46734
"writeback_inodes_sb",103518
"try_to_writeback_inodes_sb_nr",25035
"try_to_writeback_inodes_sb",31268
"sync_inodes_sb",92506
"write_inode_now",364838
"sync_inode",114206
"sync_inode_metadata",241962
"freeze_bdev",127539
"thaw_bdev",126903
"bdev_read_page",20347
"bdev_write_page",20348
"bdgrab",105125
"bd_link_disk_holder",93049
"bd_unlink_disk_holder",93057
"check_disk_size_change",74428
"revalidate_disk",643646
"blkdev_get",318854
"blkdev_get_by_path",278049
"blkdev_get_by_dev",247140
"lookup_bdev",124505
"proc_dostring",378200
"proc_dointvec",1902448
"proc_douintvec",6467
"proc_dointvec_minmax",1106942
"proc_douintvec_minmax",1511
"proc_doulongvec_minmax",478083
"proc_doulongvec_ms_jiffies_minmax",119541
"proc_dointvec_jiffies",699604
"proc_dointvec_userhz_jiffies",96073
"proc_dointvec_ms_jiffies",241513
"proc_flush_task",71286
"eventfd_signal",253200
"eventfd_ctx_get",45415
"eventfd_ctx_put",176080
"eventfd_ctx_remove_wait_queue",76500
"eventfd_ctx_read",43640
"eventfd_fget",108048
"eventfd_ctx_fdget",130130
"eventfd_ctx_fileget",123109
"sysfs_create_file_ns",16648
"sysfs_add_file_to_group",131971
"sysfs_chmod_file",211631
"sysfs_remove_file_ns",16612
"sysfs_remove_file_from_group",114163
"sysfs_create_bin_file",1529388
"sysfs_remove_bin_file",1307449
"sysfs_create_link",1454506
"sysfs_remove_link",1394832
"sysfs_rename_link_ns",16554
"debugfs_lookup",2236
"debugfs_create_file",7775997
"debugfs_create_file_unsafe",9098
"debugfs_create_file_size",18062
"debugfs_create_dir",6190666
"debugfs_create_automount",10074
"debugfs_create_symlink",178292
"debugfs_remove",3834920
"debugfs_remove_recursive",3217304
"debugfs_rename",177669
"debugfs_initialized",134178
"debugfs_use_file_start",4682
"debugfs_use_file_finish",4682
"debugfs_create_u8",455078
"debugfs_create_u16",111286
"debugfs_create_u32",981295
"debugfs_create_u64",255736
"debugfs_create_ulong",6865
"debugfs_create_x8",118572
"debugfs_create_x16",113440
"debugfs_create_x32",465461
"debugfs_create_x64",79678
"debugfs_create_size_t",111220
"debugfs_create_atomic_t",60475
"debugfs_create_bool",477946
"debugfs_create_blob",263780
"debugfs_create_u32_array",39476
"debugfs_print_regs32",39579
"debugfs_create_regset32",56663
"debugfs_create_devm_seqfile",18246
"handle_t",1728370
"journal_t",635028
"jbd2_inode",165984
"jbd2_journal_handle",43928
"journal_s",95389
"jbd2_journal_force_commit_nested",98287
"jbd2_journal_force_commit",112876
"jbd2_journal_init_dev",70898
"jbd2_journal_init_inode",94094
"jbd2_journal_update_sb_errno",45270
"jbd2_journal_load",94091
