word,frequency
use,759
kernel,311
work,300
write,243
way,235
read,229
creat,217
problem,212
struct,197
know,193
run,188
error,180
devic,179
data,175
linux,165
valu,159
implement,157
driver,151
system,151
current,145
return,144
make,142
modul,142
process,132
output,126
set,126
variabl,117
exampl,117
find,115
seem,107
chang,107
path,106
number,105
server,104
thread,103
differ,102
print,101
new,97
oper,96
pointer,96
compil,95
check,94
memori,94
block,94
updat,93
command,93
abl,91
includ,89
open,88
pass,87
everi,86
list,84
class,84
inod,82
date,82
structur,82
loop,80
access,80
handl,77
execut,76
start,76
name,74
store,73
simpl,72
bio,72
wrong,71
method,71
directori,71
solut,71
result,70
test,69
messag,67
space,66
element,65
page,65
string,64
main,63
queri,63
object,62
array,62
size,62
issu,62
actual,62
c++,61
case,61
point,61
happen,60
without,60
sinc,60
part,59
applic,58
input,58
given,58
type,57
anoth,57
request,57
client,56
still,56
sure,56
idea,56
