"firstname","firstcategory","secondname","secondcategory","freq"
"d_inode","The Directory Cache","vfs_rename","Other VFS Functions","7"
"d_inode","The Directory Cache","path_put","Other VFS Functions","6"
"debugfs_create_file","The debugfs filesystem","seq_lseek","Other VFS Functions","5"
"d_inode","The Directory Cache","vfs_unlink","Other VFS Functions","4"
"d_path","The Directory Cache","path_get","Other VFS Functions","4"
"debugfs_create_file","The debugfs filesystem","seq_read","Other VFS Functions","4"
"debugfs_create_file","The debugfs filesystem","seq_open","Other VFS Functions","3"
"d_path","The Directory Cache","path_put","Other VFS Functions","3"
"debugfs_create_file","The debugfs filesystem","seq_release","Other VFS Functions","3"
"current_time","Inode Handling","d_inode","The Directory Cache","2"
"d_inode","The Directory Cache","sys_flock","File Locks","2"
"debugfs_create_file","The debugfs filesystem","d_inode","The Directory Cache","2"
"debugfs_remove","The debugfs filesystem","seq_lseek","Other VFS Functions","2"
"debugfs_remove","The debugfs filesystem","seq_read","Other VFS Functions","2"
"debugfs_create_dir","The debugfs filesystem","d_inode","The Directory Cache","2"
"iput","Inode Handling","vfs_unlink","Other VFS Functions","1"
"d_alloc","The Directory Cache","new_inode","Inode Handling","1"
"d_path","The Directory Cache","pipe_inode_info","pipes API","1"
"debugfs_remove","The debugfs filesystem","seq_open","Other VFS Functions","1"
"generic_pipe_buf_get","pipes API","splice_to_pipe","splice API","1"
"d_inode","The Directory Cache","lookup_one_len","Other VFS Functions","1"
"d_inode","The Directory Cache","pipe_inode_info","pipes API","1"
"debugfs_create_file_unsafe","The debugfs filesystem","seq_open","Other VFS Functions","1"
"generic_pipe_buf_confirm","pipes API","splice_to_pipe","splice API","1"
"d_path","The Directory Cache","lookup_bdev","Other VFS Functions","1"
"iput","Inode Handling","path_put","Other VFS Functions","1"
"debugfs_remove","The debugfs filesystem","seq_release","Other VFS Functions","1"
"d_inode","The Directory Cache","vfs_path_lookup","Other VFS Functions","1"
"d_inode","The Directory Cache","iput","Inode Handling","1"
"debugfs_remove_recursive","The debugfs filesystem","seq_lseek","Other VFS Functions","1"
"debugfs_create_file_unsafe","The debugfs filesystem","seq_release","Other VFS Functions","1"
"d_inode","The Directory Cache","inc_nlink","Inode Handling","1"
"debugfs_create_dir","The debugfs filesystem","seq_lseek","Other VFS Functions","1"
"pipe_inode_info","pipes API","splice_to_pipe","splice API","1"
"pipe_buffer","pipes API","splice_to_pipe","splice API","1"
"d_instantiate","The Directory Cache","new_inode","Inode Handling","1"
"debugfs_create_file_unsafe","The debugfs filesystem","seq_lseek","Other VFS Functions","1"
"debugfs_create_file_unsafe","The debugfs filesystem","seq_read","Other VFS Functions","1"
"jbd2_journal_get_write_access","Journalling API Functions","__mark_inode_dirty","Other VFS Functions","1"
"drop_nlink","Inode Handling","d_inode","The Directory Cache","1"
"d_inode","The Directory Cache","new_inode","Inode Handling","1"
"generic_pipe_buf_steal","pipes API","splice_to_pipe","splice API","1"
